1,79272.9997135485
2,83567.8076967216
3,117693.530754157
4,109981.011349962
5,124443.917729423
6,118757.491678168
7,98397.5855806648
8,85669.6123371034
9,76677.733121465
10,121647.61037272
11,119361.030670516
12,98202.1387914559
13,245633.156750985
14,163328.486021645
15,79326.6516845223
16,74489.2170321524
17,123631.528774307
18,110948.853823887
19,114935.050294439
20,105253.056921719
21,96311.9104381496
22,77852.4508303428
23,79965.3786421851
24,122487.219408508
25,98437.2040957483
26,114973.381513182
27,106058.525125586
28,75464.8764938165
29,71952.3513480913
30,66003.8324685982
31,113549.773353359
